id,date_time,author,headline,read_count,main
11,2020/12/16,数计学院供稿,福建省网络计算与智能信息处理重点实验室2020年学术委员会会议在福大举行,354,新闻中心讯/12月13日上午，福建省网络计算与智能信息处理重点实验室2020年学术委员会会议在福州大学举行。国防科技大学苏金树教授、福建江夏学院校长陈国龙教授、东北大学研究生院常务副院长王兴伟教授、清华大学网络科学与网络空间研究院副院长徐明伟教授、福建农林大学计算机与信息学院院长陈日清教授、华侨大学计算机科学与技术学院院长缑锦教授，福州大学王心晨副校长等领导嘉宾出席会议。福州大学科技处、数学与计算机科学学院相关负责人、重点实验室等相关部门骨干教师、硕博士研究生参加会议。会上，王心晨副校长代表学校对出席会议的领导和嘉宾表示欢迎，对学术委员会长期以来对福建省产学研发展做出的贡献与对福州大学各项工作的支持表示感谢。数计学院郭文忠院长汇报了2017-2020年福建省网络计算与智能信息处理重点实验室整体工作情况。随后，陈星教授、刘西蒙教授对重点实验室的重要研究进展作详细汇报。学术委员会听取了汇报，对2017-2020年重点实验室取得的成绩表示肯定，并对重点实验室未来发展提出新的要求和希望。?
12,2020/12/16,党办校办供稿,福州大学举办2020年度保密工作培训会,267,新闻中心讯/12月15日上午，根据省国家保密局文件要求，福州大学在行政南楼123会议室举办保密工作培训会，学校相关部门工作人员和相关科研团队负责人参加了培训，林键副校长主持会议。会上播放了国家保密局制发的专题片。集体观看学习后，林键副校长要求与会人员会后抓紧完善各项保密工作程序，健全保密制度，提高保密工作法治化、科学化、规范化水平。此次培训使参会人员进一步认清了当前保密工作的严峻形势和重要意义，进一步普及了保密知识、增强了保密意识，推动福州大学保密工作做精做细。
13,2020/12/15,审计处供稿,福大在全省内部审计理论研讨中获一等奖,378,新闻中心讯/12月15日，福建省内部审计协会2020年内部审计理论研讨结果揭晓，福州大学审计处选送的3篇论文荣获一等奖2篇，三等奖1篇，是本次理论研讨活动唯一获奖的高校。据悉，福建省内部审计协会于今年2月份印发了《福建省内部审计协会2020年内部审计理论研讨实施方案》，以“新时代内部经济责任审计的思路与方法”为主题，面向全省内部审计机构和审计人员征集论文，经专家评选推荐省级论文一等奖10篇，二等奖15篇，三等奖25篇，优秀奖10篇。福州大学审计处克服疫情影响，积极组织审计人员参加理论研讨，结合工作认真选题，理论联系实际，总结经验做法，保证了论文的申报质量，促进了内部审计工作水平的进一步提高。???????
14,2020/12/15,人文学院供稿,人文学院两篇案例作品入选首届“全国MSW研究生案例大赛”百强案例,356,新闻中心讯/12月11日，全国社会工作专业学位研究生教育指导委员会历经层层评选，公布了首届“全国MSW研究生案例大赛”百强案例名单。福州大学人文学院在本次大赛中获得了喜人的成绩，有两篇案例成功入选。案例题目分别为“向死而生：农村独居老人善终关怀的小组工作介入”，项目团队负责人王志贤（20级社会工作专业研究生）；“倡导垃圾分类，吹响自治号角—以深圳市红星社区垃圾分类项目为例”， 项目团队负责人谢琼。（20级社会工作专业研究生）。为引导我国MSW研究生关注社会工作领域的实际问题并提高运用相关理论和方法解决实际问题的能力，同时在社会工作高等教育中推广案例教学方法，增进高等院校与实践部门互动，全国 MSW 教指委于9月1日决定举办首届全国 MSW 研究生案例大赛。大赛每年举办一届，分为初赛和决赛两个阶段，入选百强的案例将获得优秀奖，前30强将进入第二阶段的决赛。本次大赛吸引了包括北京大学、中国人民大学等高校上数百支队伍参加，每校限报三篇参赛作品。首届“全国MSW研究生案例大赛”评选由全国社会工作专业学位研究生教育指导委员会主办、华东理工大学社会与公共管理学院MSW教育中心承办，上海高校智库“社会工作与社会政策研究院”协办。初赛采取“通讯评选”的形式，经过多轮严格评审，最终确定103篇案例入选首届“全国MSW研究生案例大赛”百强案例。?
15,2020/12/15,数字中国研究院供稿,福大标准化成果入选ISO/TC 211全球50个典型工作案例,349,新闻中心讯/近日，为庆祝国际标准化组织地理信息技术委员会(ISO/TC 211)第50次全体会，ISO/TC 211向全球各成员国征集国际标准工作案例故事，福州大学数字中国研究院（福建）余劲松弟博士团队基于其所牵头及参与研制的国际标准制研发了题为“模块化方法助力基于标准的多领域影像和格网数据互操作”的案例展示，为ISO TC211模块化标准推进和应用提供了新思路，该案例通过自然资源部下属国家基础地理信息中心ISO/TC 211国内技术归口办公室提交并被ISO/TC 211接收成为其向全球征集的50个案例之一。据悉此次案例征集，中国共有8个案例入选。随着国际地理信息产业的蓬勃发展，为促进全球地理信息资源的开发、利用和共享，国际标准化组织于1994年3月正式成立了地理信息技术委员会(即ISO/TC 211)，我国从1994年该组织成立起即参与该国际标准组织工作，共同推动测绘地理信息的标准化。近年来，我国自然资源部组织的地理信息国际标准化活动在国际标准领域的贡献度和话语权不断提升。数字中国研究院（福建）通过牵头/参与多项ISO TC211国际标准修订，与国家基础地理信息中心、武汉大学、中科院空天信息创新研究院、福建工程大学等合作伙伴持续开展地理信息国际标准化工作，通过国际标准促进一带一路重点区域福建地区的国际合作交流，为不断开拓地理信息领域国际合作贡献中国智慧和中国方案。案例链接：https://committee.iso.org/sites/tc211/home/standards-in-action/user-story-challenge/china---modular-approach-helps-b.html
16,2020/12/15,测试中心供稿,测试中心9台大型仪器获得省科技厅服务绩效评价考核排名前列,318,新闻中心讯/近日，福建省科学技术厅关于开展 2019年度重大科研基础设施和大型科研仪器向社会开放服务绩效评价工作结果已公示，福州大学测试中心9台仪器上榜（845台仪器参与考核，70台入围），突破历史新高，其中场发射扫描电子显微镜考核得分93.04分，总体排名第三，在福建省高校仪器共享排名第一；透射电镜和红外排名前八，其余6台排名前65。（林双妹）?
17,2020/12/15,机械学院供稿,机械学院钟舜聪教授学术专著获2020年度国家科学技术学术著作出版基金资助,525,新闻中心讯/近日，2020年度国家科学技术学术著作出版基金资助项目揭晓，福州大学机械工程及自动化学院钟舜聪教授和Walter Nsengiyumva博士生合著的《Nondestructive Testing and Evaluation of Fiber-reinforced Composite Structures》（科学出版社）成功入选。钟舜聪教授的著作针对纤维增强复合材料无损检测和评价的国家科技重大需求，着眼于纤维增强复合材料结构失效机理、无损检测方法（包括太赫兹无损检测等新技术）及其发展趋势等。著作是钟舜聪教授科研团队集体智慧结晶，体现了主编在复合材料无损检测和评价的基础研究和工程应用的积淀，对解决复合材料无损检测和评价的国家科技重大需求具有重要指导意义，是我校推进“双一流”学科建设工作的重要成果。国家科学技术学术著作出版基金由国务院批准设立，旨在更好地贯彻国家科技政策和出版方针，支持自然科学和技术科学领域优秀和重要的学术著作出版。国家学术著作出版基金按照“自由申请、公平竞争、专家评议、择优支持”的原则，坚持“有限目标，突出重点，打造精品，走向世界”的发展目标，重点支持国家科技计划和重点领域的基础性、前瞻性和战略性科技学术成果项目。经专家评审、国家科学技术学术著作出版基金委员会批准，2020年度共有239个项目获得国家科学技术学术著作出版基金资助。
18,2020/12/15,物信学院供稿,福大承办海峡两岸无线科学与技术大会 会议投稿数创新纪录,304,新闻中心讯/12月13日-16日，2020海峡两岸无线科学与技术大会（CSRSWTC 2020）在福州成功召开。本届大会收到了来自中国大陆、台湾、香港和澳门的350多份论文，创下了会议投稿数的新纪录。大会采用线上线下相结合的方式，来自两岸四地的近300位学者参会。会议共设36个专题会场，有190余个口头报告、160余个墙报展示，报告内容涉及天线理论与设计、太赫兹技术、超材料与超表面的电磁波操控应用、微波毫米波电路、计算电磁学、深度学习应用和多媒体通信和信号处理等研究方向。为海峡两岸无线技术研究领域的专家学者提供了一个创新科学思想和技术发展的交流平台，有力地促进了参会的海峡两岸学者建立新的合作关系。本次大会主席为海内外著名学者吴一戎院士、陈志璋院士、陈文山教授。大会联合主席包括中国科学院空天信息创新研究院刘文鑫研究员、福州大学葛悦禾教授、台湾澎湖科技大学吴明典教授，大会技术程序委员会主席中国科学院空天信息创新研究院张志强研究员、福州大学赵铁松教授、中国矿业大学赵雷教授、南京理工大学丁大志教授。福州大学王心晨副校长出席了大会并致辞。来自中国科学院空天信息创新研究院吴一戎院士、东南大学崔铁军院士、北京航空航天大学苏东林院士、香港城市大学陆贵文院士、华南理工大学的褚庆昕教授和台湾乐荣集团首席科学家张道治教授，以及电子科技大学宫玉彬教授，为大会带来了精彩的主题报告。来自海峡两岸的顶级专家分享了在太赫兹技术及其应用、电磁兼容及防护技术、信息超材料和智能超材料、双模波导滤波器及磁电天线等射频系统设计、5G通信等无线技术研究前沿领域的最新研究进展和成果，并与海峡两岸参会学者展开深入的探讨和交流。大会电子信息产业目前已成为海峡两岸福建和台湾的支柱产业，无线技术作为电子信息产业的核心支撑技术，其研究和技术进步深刻地影响着信息产业的高质量发展。海峡两岸无线领域专家学者的深入交流和合作，不仅有利于推动两岸共同在该领域取得世界领先研究的研究成果，也有助于加快两岸信息产业技术融合。福州作为数字中国的“首发城市”和海峡西岸的中心城市，通过举办此次大会，进一步发挥其在促进海峡两岸科技交流与合作方面的独特优势。福州大学作为福建省唯一国家“双一流”建设高校、国家“211工程”重点建设大学，其无线技术研究在福建省内处于领先地位，通过承办此次大会，在大会上展示了相关领域的最新研究成果，并与来自海峡两岸专家进行了深入的交流，对促进学科发展发挥了重要作用。据悉，海峡两岸无线科学与技术大会自1998年台湾长庚大学主办了第一届会议以来，轮流在大陆、台湾、香港和澳门举行，今年为第23届会议，大会目前已是世界及两岸四地在无线通信科技领域非常重要且受到各界华人高度重视的年度学术会议，并已成为介绍和更新无线科学和通信领域最新进展和发展的最重要和最活跃的论坛之一。本次大会由中国科学院空天信息创新研究院、福州大学、南台科技大学联合主办，福州大学承办。（中国科学院空天信息创新研究院张志强、刘文鑫；福州大学许志猛）陈志璋院士致辞福州大学王心晨副校长致辞苏东林院士大会报告崔铁军院士大会报告会议现场??
19,2020/12/15,党委统战部、物信学院供稿,程树英教授荣获民进中央2020年履职能力建设先进个人,369,新闻中心讯/12月14日，民进中央召开履职能力建设主题年工作会暨参政议政年会，对民进全国履职能力建设先进集体、先进个人进行表彰。福州大学物信学院程树英教授荣获“先进个人”表彰。程树英教授为福州市政协委员，民进福建省委常委、高教专委会主任、福州大学基层委员会主委，现任福州大学物信学院副院长。
20,2020/12/14,对外合作与交流处供稿,福州大学被授予一定的出访来访外事审批权,661,新闻中心讯/近日，福州大学收到通知，经国务院批准，福州大学被授予一定的出访来访外事审批权，成为福建省第一所获此授权的省属高校。“一定的出访来访外事审批权”，即“自行审批除校领导班子成员以外的本校及所属企事业单位人员因公临时出国和邀请外国相应人员来华事项的权限”。上述审批权不涉及因公临时赴台港澳事务，在该权限内福州大学将可自行审批福大教职员工因公临时出国申请（不含校领导班子成员），但不包含与因公护照及外国签证有关的环节。“一定的出访来访外事审批权”是一项政治性、政策性极强的工作，因此，对外合作与交流处在接下来的一个时期，将根据上级部门工作安排进一步健全完善规章制度及内部审批流程并搭建相应的网上申报系统，进一步方便师生办理相关外事手续，为全面落实出访来访外事审批权工作奠定坚实的基础。并以此为契机，进一步做好外事管理工作，持续深入提升服务水准，助推学校“双一流”建设。?
